exp	track	target	metric	delta	decision	description
1	block	13-radial-dendrogram-edge-bundling	321	0	baseline	Initial baseline
2	block	13-radial-dendrogram-edge-bundling	298	-23	keep	-23 lines (composite 7.2→7.0)
3	block	13-radial-dendrogram-edge-bundling	293	-5	keep	-5 lines (composite 7.0→7.0)
4	block	13-radial-dendrogram-edge-bundling	285	-8	keep	-8 lines (composite 7.0→7.0)
5	block	13-radial-dendrogram-edge-bundling	271	-14	keep	-14 lines (composite 7.0→7.2)
6	block	13-radial-dendrogram-edge-bundling	266	-5	keep	-5 lines (composite 7.2→7.0)
7	block	02-linked-scatterplot-matrix	344	0	baseline	Initial baseline
8	block	02-linked-scatterplot-matrix	326	-18	keep	-18 lines (composite 6.6→6.3)
9	block	02-linked-scatterplot-matrix	314	-12	keep	-12 lines (composite 6.3→6.9)
10	block	02-linked-scatterplot-matrix	307	-7	discard	quality regression (composite 6.9→6.6)
11	block	02-linked-scatterplot-matrix	305	-9	discard	quality regression (composite 6.9→6.6)
12	block	02-linked-scatterplot-matrix	306	-8	keep	-8 lines (composite 6.9→6.9)
13	block	hierarchy-bundles	1012	0	baseline	Initial baseline
14	block	hierarchy-bundles	983	-29	keep	-29 lines (composite 5.2→5.8)
15	block	hierarchy-bundles	957	-26	discard	quality regression (composite 5.8→5.3)
16	block	hierarchy-bundles	970	-13	keep	-13 lines (composite 5.8→5.5)
17	block	hierarchy-bundles	945	-25	keep	-25 lines (composite 5.5→5.5)
18	block	hierarchy-bundles	920	-25	keep	-25 lines (composite 5.5→5.5)
19	block	hierarchy-bundles	910	-10	keep	-10 lines (composite 5.5→5.7)
20	block	hierarchy-bundles	899	-11	keep	-11 lines (composite 5.7→5.5)
21	block	hierarchy-bundles	890	-9	keep	-9 lines (composite 5.5→5.8)
22	block	04-bee-swarm-census	265	0	baseline	Initial baseline
23	block	04-bee-swarm-census	256	-9	keep	-9 lines (composite 7.7→7.7)
22	block	hierarchy-bundles	883	0	discard	Audit failed
24	block	04-bee-swarm-census	254	-2	discard	quality regression (composite 7.7→7.3)
25	block	04-bee-swarm-census	254	-2	keep	-2 lines (composite 7.7→7.6)
24	block	hierarchy-bundles	883	-7	keep	-7 lines (composite 5.8→5.8)
26	block	04-bee-swarm-census	249	-5	keep	-5 lines (composite 7.6→7.7)
26	block	hierarchy-bundles	866	-17	keep	-17 lines (composite 5.8→5.5)
27	block	04-bee-swarm-census	244	-5	keep	-5 lines (composite 7.7→7.9)
28	block	04-bee-swarm-census	241	-3	keep	-3 lines (composite 7.9→7.7)
27	block	hierarchy-bundles	854	-12	keep	-12 lines (composite 5.5→5.5)
29	block	hierarchy-bundles	846	-8	keep	-8 lines (composite 5.5→6.8)
30	block	hierarchy-bundles	840	-6	discard	quality regression (composite 6.8→6.3)
31	block	hierarchy-bundles	836	-10	discard	quality regression (composite 6.8→5.8)
32	block	32-shape-morphing-gallery	451	0	baseline	Initial baseline
32	block	hierarchy-bundles	838	-8	discard	quality regression (composite 6.8→5.3)
33	block	32-shape-morphing-gallery	436	-15	keep	-15 lines (composite 6.6→6.3)
34	block	32-shape-morphing-gallery	414	-22	keep	-22 lines (composite 6.3→6.0)
35	block	32-shape-morphing-gallery	405	-9	keep	-9 lines (composite 6.0→6.3)
36	block	32-shape-morphing-gallery	397	-8	keep	-8 lines (composite 6.3→6.6)
37	block	32-shape-morphing-gallery	390	-7	keep	-7 lines (composite 6.6→6.3)
38	block	32-shape-morphing-gallery	378	-12	keep	-12 lines (composite 6.3→6.6)
39	block	32-shape-morphing-gallery	375	-3	discard	quality regression (composite 6.6→6.1)
40	block	32-shape-morphing-gallery	374	-4	discard	quality regression (composite 6.6→5.8)
41	block	32-shape-morphing-gallery	371	-7	keep	-7 lines (composite 6.6→6.8)
42	block	32-shape-morphing-gallery	366	-5	keep	-5 lines (composite 6.8→6.5)
43	block	32-shape-morphing-gallery	363	-3	discard	quality regression (composite 6.5→6.0)
44	block	32-shape-morphing-gallery	360	-6	keep	-6 lines (composite 6.5→6.3)
